Field,1995,1990,1995,2000,2005,2010,2015
life_science,"1,876","2,492","3,358","4,043","4,735","6,213","6,941"
physical_science,569,791,"1,020","1,022","1,216","1,615","1,988"
math,139,268,451,400,547,814,943
phych,"2,510","2,953","3,526","4,073","3,985","4,524","5,332"
engineer,198,415,696,838,"1,182","1,746","2,301"
education,"3,491","3,751","4,092","4,179","4,152","3,624","3,502"
humanities,"1,392","1,666","2,339","2,672","2,581","2,553","2,832"
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,