Year ,Gender,Total ,Full_time,Part_time,Public_all,Private_all
1967,M,630701,358686,337963,522623,373442
1968,M,696649,383630,355043,648657,388720
1969,M,738673,407724,386216,738551,381624
1970,M,793940,428167,360964,807879,404364
1971,M,789131,436533,373631,796516,407874
1972,M,810164,444219,389234,848031,424390
1973,M,833453,454706,402141,897104,445348
1974,M,856847,467425,424567,956770,468231
1975,M,891992,459286,445265,1008476,496928
1976,M,904551,462038,429781,1033115,544431
1977,M,891819,458865,421066,1004013,565071
1978,M,879931,456197,406557,998608,577085
1979,M,862754,462387,411810,989991,581931
1980,M,874197,452364,414421,1015439,606401
1981,M,866785,453519,407371,998669,618481
1982,M,860890,455540,409885,983014,617704
1983,M,865425,452579,404182,985616,633050
1984,M,856761,451274,405096,983879,639990
1985,M,856370,452717,414293,1002148,648233
1986,M,867010,447212,416387,1053177,652359
1987,M,863599,455337,408915,1054665,665742
1988,M,864252,461596,417429,1058242,680547
1989,M,879025,471217,432933,1090221,705808
1990,M,904150,493849,436992,1135121,724410
1991,M,930841,502166,438887,1161606,758060
1992,M,941053,508574,435194,1168270,781389
1993,M,943768,513592,436193,1177301,803543
1994,M,949785,510782,430627,1188552,827630
1995,M,941409,512100,420053,1188748,841314
1996,M,932153,510845,416651,1185216,855356
1997,M,927496,505492,417640,1188640,863107
1998,M,923132,508930,422000,1187557,882473
1999,M,930930,522847,420654,1201511,908735
2000,M,943501,531260,425124,1213464,943432
2001,M,956384,566930,442796,1247285,965092
2002,M,1009726,589190,443702,1319138,1035496
2003,M,1032892,598727,448487,1335595,1095522
2004,M,1047214,602525,444529,1329532,1161882
2005,M,1047054,614709,446350,1324104,1199407
2006,M,1061059,632576,455738,1332707,1241861
2007,M,1088314,656926,465346,1353197,1291160
2008,M,1122272,689977,479800,1380936,1356140
2009,M,1169777,719408,490069,1424393,1425022
2010,M,1209477,722265,488999,1439171,1497840
2011,M,1211264,724017,480051,1421404,1511883
2012,M,1204068,732112,468945,1406567,1502273
2013,M,1201057,742439,468712,1398556,1501817
2014,M,1211151,749971,471595,1410178,1504404
2015,M,1221566,749971,471595,1422383,1518109
1967,F,265364,93610,171754,,
1968,F,340728,111061,229667,,
1969,F,381502,123203,258299,,
1970,F,418303,128502,289801,,
1971,F,415259,136069,279190,,
1972,F,462257,146766,315491,,
1973,F,508999,166716,342283,,
1974,F,568154,189221,378933,,
1975,F,613412,205513,407899,,
1976,F,672995,224539,448456,,
1977,F,677265,236864,440401,,
1978,F,695762,245966,449796,,
1979,F,709168,258427,450741,,
1980,F,747643,273827,473816,,
1981,F,750365,279818,470547,,
1982,F,739828,283294,456534,,
1983,F,753241,291476,461765,,
1984,F,767108,298156,468952,,
1985,F,794011,304355,489656,,
1986,F,838526,314760,523766,,
1987,F,856808,321324,535484,,
1988,F,874537,339003,535534,,
1989,F,917004,358658,558346,,
1990,F,955381,373738,581643,,
1991,F,988825,400068,588757,,
1992,F,1008606,415510,593096,,
1993,F,1037076,439562,597514,,
1994,F,1066397,455478,610919,,
1995,F,1088653,472752,615901,,
1996,F,1108419,492014,616405,,
1997,F,1124251,508619,615632,,
1998,F,1146898,519135,627763,,
1999,F,1179316,540661,638655,,
2000,F,1213395,563827,649568,,
2001,F,1255993,588602,667391,,
2002,F,1344908,645177,699731,,
2003,F,1398225,691690,706535,,
2004,F,1444200,727114,717086,,
2005,F,1476457,748056,728401,,
2006,F,1513509,771517,741992,,
2007,F,1556043,796338,759705,,
2008,F,1614804,835887,778917,,
2009,F,1679638,877103,802535,,
2010,F,1727534,910734,816800,,
2011,F,1722023,915091,806932,,
2012,F,1704772,913295,791477,,
2013,F,1699316,925222,774094,,
2014,F,1703431,927734,775697,,
2015,F,1718926,935866,783060,,